FrameworkName,D_is,D_fs,D_isfs,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,Unitcell_volume,Density,AV_Volume_fraction,AV_cm^3/g,NAV_Volume_fraction,NAV_cm^3/g,n_pockets
OSAVUA,5.76863,5.59566,5.76863,2348.29,2655.5,0.0,0.0,887.029,0.884314,0.16495,0.186529,0.0,0.0,0
IFENOY02,7.27251,5.76002,7.27251,694.181,524.38,0.0,0.0,1849.87,1.32381,0.05531,0.0417808,0.0,0.0,0
BICDAU,11.50132,6.68644,11.17198,2447.0,3747.37,0.0,0.0,5236.58,0.65299,0.448095,0.68622,0.0,0.0,0
EHALOP,7.55323,7.08668,7.55323,1981.77,2106.02,0.0,0.0,734.462,0.941006,0.207755,0.22078,0.0,0.0,0
QIFLIC,5.58661,2.79398,5.58661,0.0,0.0,870.96,580.276,2040.27,1.50094,0.0,0.0,0.037885,0.0252408,7
QOVWOO,2.96169,2.73853,2.95687,0.0,0.0,22.2796,13.0154,1938.87,1.71178,0.0,0.0,3e-05,1.75256e-05,22
KANCIN,4.67742,4.02213,4.66035,1532.13,1290.54,0.0,0.0,1933.85,1.1872,0.05392,0.0454179,0.0,0.0,0
IRMOF-6,15.03161,6.71406,15.03161,2351.51,3602.34,0.0,0.0,4314.43,0.652773,0.437155,0.669689,0.0,0.0,0
CAXWEF,11.4836,10.80822,11.4836,1685.75,1472.91,0.0,0.0,1330.98,1.14451,0.332745,0.290732,0.0,0.0,0
OFERUN02,11.42938,3.12691,11.42938,1654.45,1795.33,0.0,0.0,2458.76,0.92153,0.221715,0.240594,0.0,0.0,0
ZIF-8,11.38754,3.42716,11.3792,1748.76,1891.53,0.0,0.0,4905.2,0.924526,0.227035,0.245569,0.0,0.0,0
IGOCOX,12.1641,2.56229,12.1641,0.0,0.0,1797.21,1465.16,2553.52,1.22663,0.0,0.0,0.24815,0.202302,2
PEVPUD,14.95522,7.91451,14.95522,2200.91,3699.34,0.0,0.0,4263.97,0.594947,0.51059,0.85821,0.0,0.0,0
FUWXOL,4.76594,4.4337,4.73028,1609.15,1078.45,0.0,0.0,1186.44,1.4921,0.0811,0.0543531,0.0,0.0,0
PUQYAC,5.36415,5.07421,5.36415,872.941,581.853,0.0,0.0,3025.78,1.50028,0.040025,0.0266784,0.0,0.0,0
HELCUY,3.75849,2.60112,3.74903,0.0,0.0,300.496,155.017,1842.47,1.93847,0.0,0.0,0.005715,0.0029482,2
LOQLIN,14.25816,13.92601,14.25816,1572.88,1655.62,0.0,0.0,2620.14,0.950024,0.32053,0.337392,0.0,0.0,0
IRMOF-1,15.06638,7.91582,15.06638,2210.49,3725.51,0.0,0.0,4309.37,0.593339,0.501695,0.845545,0.0,0.0,0
GOMREG,5.3838,3.6396,5.37584,1192.77,687.78,0.0,0.0,1401.24,1.73424,0.063295,0.0364973,0.0,0.0,0
TESHAB,5.24315,3.84947,5.24293,1336.68,736.706,0.0,0.0,1706.93,1.8144,0.05972,0.0329144,0.0,0.0,0
LIBJAJ,3.31921,2.8984,3.31793,458.62,363.249,0.0,0.0,1106.06,1.26255,0.004065,0.00321968,0.0,0.0,0
